std_dev,sl_pct,sl_thresh,cooldown,trend_period,direction,total,wins,losses,wr,net_pnl,max_dd,calmar
2.0,0.5,55,1,100,both,759,376,382,49.6,-4163.9,4184.5,-1.0
2.0,0.5,55,1,100,long,385,189,195,49.2,-2564.5,2648.2,-0.97
2.0,0.5,55,1,100,short,374,187,187,50.0,-1599.4,1879.0,-0.85
2.0,0.5,55,2,100,both,745,377,367,50.7,-3350.2,3370.8,-0.99
2.0,0.5,55,2,100,long,377,188,188,50.0,-2343.6,2427.3,-0.97
2.0,0.5,55,2,100,short,367,189,178,51.5,-948.6,1555.9,-0.61
2.0,0.5,55,3,100,both,737,374,362,50.8,-3361.4,3382.0,-0.99
2.0,0.5,55,3,100,long,371,186,184,50.3,-2225.4,2309.1,-0.96
2.0,0.5,55,3,100,short,365,188,177,51.5,-1078.0,1550.1,-0.7
2.0,0.5,55,4,100,both,730,371,358,50.9,-3369.2,3389.8,-0.99
2.0,0.5,55,4,100,long,367,184,182,50.3,-2158.1,2299.8,-0.94
2.0,0.5,55,4,100,short,362,187,175,51.7,-1153.1,1533.6,-0.75
2.0,0.5,65,1,100,both,752,369,382,49.1,-3771.5,3812.4,-0.99
2.0,0.5,65,1,100,long,380,184,195,48.5,-2409.9,2513.9,-0.96
2.0,0.5,65,1,100,short,372,185,187,49.7,-1361.6,1872.8,-0.73
2.0,0.5,65,2,100,both,737,369,367,50.1,-2915.2,2956.1,-0.99
2.0,0.5,65,2,100,long,370,182,187,49.3,-2159.1,2263.1,-0.95
2.0,0.5,65,2,100,short,366,187,179,51.1,-698.1,1456.2,-0.48
2.0,0.5,65,3,100,both,729,367,361,50.4,-2928.3,2969.2,-0.99
2.0,0.5,65,3,100,long,366,182,183,49.9,-1993.2,2131.6,-0.94
2.0,0.5,65,3,100,short,362,185,177,51.1,-877.1,1500.0,-0.58
2.0,0.5,65,4,100,both,722,363,358,50.3,-3049.7,3090.6,-0.99
2.0,0.5,65,4,100,long,362,180,181,49.9,-1929.0,2142.9,-0.9
2.0,0.5,65,4,100,short,359,183,176,51.0,-1062.7,1594.0,-0.67
2.0,0.5,75,1,100,both,745,360,384,48.4,-3648.6,3696.6,-0.99
2.0,0.5,75,1,100,long,376,177,198,47.2,-2528.7,2655.5,-0.95
2.0,0.5,75,1,100,short,369,183,186,49.6,-1119.9,1665.2,-0.67
2.0,0.5,75,2,100,both,732,359,372,49.1,-3067.4,3122.2,-0.98
2.0,0.5,75,2,100,long,368,175,192,47.7,-2393.9,2520.7,-0.95
